WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
461	1666393.615	1664882.716	1794122.124	1407188.88
462	1684355.731	1681689.519	1811213.642	1422826.169
463	1687434.809	1683995.111	1812555.589	1431142.331
464	1698842.508	1694386.448	1822754.25	1437814.38
465	1711203.836	1705678.118	1833395.087	1450178.088
466	1723889.671	1717945.014	1844480.491	1457408.482
467	1739391.712	1731501.682	1859314.804	1462947.778
468	1742975.23	1734426.281	1861043.407	1478410.645
469	1756039.778	1747349.919	1873285.233	1485844.302
470	1770281.905	1760939.102	1886574.645	1492806.645
471	1774724.775	1764655.405	1889427.925	1502777.635
472	1787611.04	1777015.038	1901770.114	1515158.727
473	1790885.78	1779546.844	1903237.024	1526008.274
474	1804363.001	1791121.411	1913726.367	1532547.146
475	1818199.275	1804455.448	1926923.839	1538616.311
476	1823107.594	1809284.478	1930484.154	1553707.958
477	1836648.097	1821622.489	1942794.978	1561073.528
478	1840890.399	1825258.474	1945446.65	1567724.538
479	1857035.807	1841163.49	1961196.353	1577319.8
480	1861774.755	1845345.865	1963822.151	1589570.306
481	1875815.62	1858887.517	1976364.561	1602331.135
482	1891437.429	1874020.395	1991373.943	1610350.571
483	1896789.185	1879063.771	1995347.405	1616692.05
484	1914983.282	1895407.802	2012611.359	1627254.694
485	1919604.56	1900215.052	2016436.561	1642609.182
486	1924279.53	1904409.686	2019077.2	1651432.338
487	1938676.256	1917888.058	2032397.858	1660391.498
488	1952703.198	1932214.816	2045729.52	1667726.503
489	1960833.778	1939122.501	2052612.515	1683960.594
490	1975175.555	1952804.385	2064030.347	1692609.596
491	1988206.406	1965199.991	2076182.952	1699050.49
492	1992225.249	1969014.319	2079153.659	1709363.84
493	1999511.153	1975985.625	2085132.65	1722596.671
494	2010312.818	1985632.971	2094437.659	1729931.877
495	2022905.369	1998034.209	2106132.74	1740952.654
496	2034500.378	2009174.381	2116556.133	1747222.932
497	2041458.212	2015563.699	2122255.548	1763339.302
498	2052534.413	2026048.092	2132764.527	1771566.468
499	2064646.914	2037079.245	2142195.432	1778949.695
500	2077177.759	2049088.806	2154200.126	1789044.961
501	2091421.151	2063341.768	2167656.957	1801719.24
502	2095447.322	2067484.671	2170993.371	1810701.299
503	2101914.533	2073473.293	2174763.957	1821462.996
504	2115183.388	2085282.652	2187265.565	1827868.39
505	2127856.783	2098478.846	2199941.174	1844538.174
506	2140081.035	2110238.446	2209348.028	1852811.356
507	2147215.594	2116679.474	2215290.474	1860449.184
508	2161082.486	2129433.787	2228058.097	1871276.357
509	2173371.155	2141554.472	2239956.743	1880058.39
510	2188949.241	2156592.439	2254810.901	1895571.271
511	2194308.538	2161862.729	2257632.768	1903713.561
512	2198422.103	2165897.74	2261250.213	1912275.503
513	2211571.751	2178125.581	2273516.799	1921208.118
514	2224317.07	2190092.395	2285542.702	1937106.465
515	2240743.179	2205464.66	2299922.652	1945710.343
516	2245065.375	2209299.039	2303234.245	1955900.31
517	2258287.266	2221894.904	2315721.77	1966247.788
518	2271339.972	2234807.817	2327981.827	1973247.012
519	2284039.358	2246944.243	2339937.592	1989924.22
520	2291691.162	2254338.968	2346208.396	1998539.559
521	2296359.881	2258430.76	2349318.393	2006606.198
522	2309139.581	2270658.916	2361522.485	2022663.933
523	2322664.391	2282914.321	2373123.657	2030746.094
524	2337283.04	2296819.949	2387021.462	2039147.159
525	2345439.954	2304930.012	2394731.058	2052469.157
526	2360816.635	2319392.641	2407743.041	2061022.374
527	2374131.772	2332873.935	2420455.212	2072259.856
528	2382337.727	2340565.531	2428142.003	2086284.225
529	2387176.877	2345089.462	2431760.134	2090285.914
530	2401032.017	2358483.143	2444763.688	2106048.347
531	2411895.728	2367323.221	2454743.057	2115518.879
532	2425949.483	2381109.163	2466946.242	2122614.914
533	2439969.374	2394871.815	2481628.395	2138569.194
534	2448350.828	2402608.949	2488704.709	2148379.508
535	2452990.68	2406943.869	2490780.742	2155994.05
536	2467133.19	2420474.243	2503902.71	2168734.861
537	2481253.99	2433725.535	2517417.051	2177812.944
538	2489912.743	2442544.21	2526964.806	2185462.344
539	2506072.519	2457111.358	2540672.821	2201379.858
540	2511093.757	2461578.007	2544939.294	2213686.908
541	2520335.001	2470378.885	2553769.085	2221261.043
542	2534917.517	2484418.27	2567625.001	2232469.675
543	2548752.794	2496927.512	2579712.093	2243186.915
544	2558243.784	2505866.007	2588458.647	2253249.17
